Easting,Northing,Depth (Proc),Primary Depth,Secondary Depth
146298.881,6834643.020,7.246,11.946,11.896
146298.988,6834643.067,7.248,11.944,11.888
146299.098,6834643.101,7.258,11.950,11.886
146299.221,6834643.141,7.245,11.934,11.885
146299.338,6834643.162,7.244,11.930,11.902
146299.493,6834643.179,7.247,11.931,11.876
146299.627,6834643.192,7.255,11.937,11.878
146299.764,6834643.204,7.257,11.940,11.883
146299.905,6834643.204,7.253,11.937,11.886
146300.045,6834643.203,7.247,11.933,11.911
146300.186,6834643.203,7.246,11.935,11.886
146300.352,6834643.206,7.244,11.939,11.899
146300.488,6834643.199,7.247,11.947,11.900
146300.620,6834643.200,7.271,11.976,11.897
146300.748,6834643.200,7.270,11.984,11.922
146300.880,6834643.201,7.252,11.974,11.921
146300.992,6834643.209,7.245,11.975,11.919
146301.087,6834643.226,7.243,11.981,11.938
146301.179,6834643.249,7.245,11.989,11.955
146301.259,6834643.280,7.245,11.995,11.968
146301.349,6834643.335,7.242,11.998,11.966
146301.413,6834643.374,7.246,12.004,11.970
146301.461,6834643.440,7.246,12.007,11.983
146301.511,6834643.512,7.248,12.010,11.960
146301.551,6834643.578,7.252,12.013,11.963
146301.608,6834643.681,7.252,12.010,11.952
146301.650,6834643.767,7.251,12.007,11.954
146301.694,6834643.872,7.254,12.005,11.975
146301.741,6834643.963,7.252,11.997,11.951
146301.802,6834644.060,7.258,11.997,11.934
146301.877,6834644.174,7.262,11.993,11.926
146301.949,6834644.263,7.267,11.990,11.926
146302.026,6834644.358,7.268,11.982,11.898
146302.115,6834644.446,7.262,11.967,11.898
146302.208,6834644.526,7.250,11.949,11.879
146302.305,6834644.607,7.256,11.944,11.873
146302.429,6834644.691,7.253,11.932,11.862
146302.545,6834644.750,7.231,11.905,11.850
146302.661,6834644.810,7.231,11.896,11.853
146302.785,6834644.849,7.231,11.892,11.840
146302.955,6834644.897,7.231,11.885,11.832
146303.097,6834644.909,7.234,11.884,11.819
146303.230,6834644.915,7.235,11.884,11.815
146303.370,6834644.915,7.239,11.888,11.824
146303.505,6834644.896,7.241,11.890,11.830
146303.673,6834644.867,7.239,11.892,11.833
146303.802,6834644.835,7.243,11.901,11.825
146303.936,6834644.810,7.226,11.889,11.823
146304.057,6834644.779,7.223,11.893,11.841
146304.173,6834644.749,7.232,11.912,11.856
146304.285,6834644.719,7.236,11.923,11.871
146304.403,6834644.701,7.223,11.920,11.875
146304.492,6834644.693,7.222,11.927,11.891
146304.581,6834644.691,7.215,11.928,11.879
146304.658,6834644.696,7.208,11.928,11.906
146304.724,6834644.722,7.207,11.932,11.887
146304.793,6834644.767,7.205,11.934,11.888
146304.855,6834644.799,7.207,11.940,11.888
146304.908,6834644.858,7.207,11.940,11.886
146304.956,6834644.918,7.211,11.945,11.880
146305.015,6834644.995,7.224,11.956,11.896
146305.074,6834645.085,7.217,11.945,11.877
146305.134,6834645.169,7.215,11.940,11.879
146305.189,6834645.260,7.213,11.935,11.878
146305.257,6834645.349,7.212,11.929,11.871
146305.330,6834645.439,7.210,11.923,11.912
146305.411,6834645.533,7.207,11.915,11.862
146305.518,6834645.625,7.204,11.905,11.855
146305.616,6834645.712,7.201,11.898,11.862
146305.721,6834645.785,7.203,11.897,11.853
146305.836,6834645.838,7.213,11.903,11.849
146305.961,6834645.890,7.266,11.953,11.845
146306.115,6834645.940,7.209,11.894,11.836
146306.255,6834645.977,7.202,11.884,11.843
146306.401,6834645.996,7.199,11.880,11.836
146306.548,6834646.014,7.202,11.884,11.835
146306.693,6834646.019,7.233,11.917,11.844
146306.872,6834646.021,7.198,11.884,11.830
146307.021,6834646.013,7.192,11.884,11.841
146307.165,6834646.000,7.189,11.884,11.854
146307.308,6834645.986,7.186,11.887,11.836
146307.444,6834645.980,7.183,11.891,11.841
146307.583,6834645.960,7.177,11.894,11.911
146307.696,6834645.943,7.170,11.894,11.850
146307.802,6834645.933,7.165,11.894,11.861
146307.899,6834645.930,7.159,11.895,11.864
146307.981,6834645.935,7.157,11.898,11.871
146308.071,6834645.939,7.165,11.911,11.863
146308.132,6834645.959,7.175,11.923,11.866
146308.191,6834645.992,7.157,11.905,11.886
146308.246,6834646.038,7.154,11.901,11.862
146308.301,6834646.077,7.166,11.911,11.869
146308.350,6834646.143,7.184,11.926,11.851
146308.414,6834646.226,7.160,11.896,11.851
146308.467,6834646.298,7.144,11.875,11.837
146308.530,6834646.375,7.130,11.854,11.846
146308.594,6834646.465,7.131,11.846,11.802
146308.671,6834646.560,7.133,11.841,11.811
146308.762,6834646.667,7.144,11.842,11.786
146308.852,6834646.754,7.142,11.830,11.772
146308.954,6834646.847,7.126,11.807,11.764
146309.061,6834646.939,7.125,11.797,11.754
146309.176,6834647.030,7.126,11.792,11.735
146309.299,6834647.108,7.115,11.774,11.726
146309.433,6834647.178,7.109,11.764,11.716
146309.589,6834647.253,7.112,11.763,11.715
146309.734,6834647.297,7.127,11.775,11.715
146309.878,6834647.334,7.158,11.807,11.704
146310.026,6834647.365,7.132,11.781,11.701
146310.172,6834647.377,7.138,11.788,11.698
146310.317,6834647.376,7.127,11.780,11.723
146310.479,6834647.373,7.116,11.776,11.718
146310.618,6834647.354,7.109,11.774,11.740
146310.752,6834647.328,7.113,11.785,11.741
146310.876,6834647.297,7.112,11.793,11.743
